State,Duration,StartTime,EndTime
¿ô,113.0 ,2024/5/20 23:00,2024/5/21 00:53
²L¯v,15.0 ,2024/5/21 00:53,2024/5/21 01:08
²L¯v,5.0 ,2024/5/21 01:08,2024/5/21 01:13
¿ô,8.0 ,2024/5/21 01:13,2024/5/21 01:21
²L¯v,10.0 ,2024/5/21 01:21,2024/5/21 01:31
²L¯v,12.0 ,2024/5/21 01:31,2024/5/21 01:43
²L¯v,22.0 ,2024/5/21 01:43,2024/5/21 02:05
²L¯v,2.0 ,2024/5/21 02:05,2024/5/21 02:07
²L¯v,12.0 ,2024/5/21 02:07,2024/5/21 02:19
²`¯v,25.0 ,2024/5/21 02:19,2024/5/21 02:44
²L¯v,18.0 ,2024/5/21 02:44,2024/5/21 03:02
²L¯v,8.0 ,2024/5/21 03:02,2024/5/21 03:10
²L¯v,19.0 ,2024/5/21 03:10,2024/5/21 03:29
²L¯v,10.0 ,2024/5/21 03:29,2024/5/21 03:39
²L¯v,8.0 ,2024/5/21 03:39,2024/5/21 03:47
²L¯v,8.0 ,2024/5/21 03:47,2024/5/21 03:55
²L¯v,8.0 ,2024/5/21 03:55,2024/5/21 04:03
¿ô,35.0 ,2024/5/21 04:03,2024/5/21 04:38
²L¯v,8.0 ,2024/5/21 04:38,2024/5/21 04:46
²L¯v,16.0 ,2024/5/21 04:46,2024/5/21 05:02
²L¯v,8.0 ,2024/5/21 05:02,2024/5/21 05:10
²L¯v,10.0 ,2024/5/21 05:10,2024/5/21 05:20
²L¯v,65.0 ,2024/5/21 05:20,2024/5/21 06:25
¿ô,36.0 ,2024/5/21 06:25,2024/5/21 07:01
¿ô,16.0 ,2024/5/21 07:01,2024/5/21 07:17
¿ô,158.0 ,2024/5/21 07:17,2024/5/21 09:55
¿ô,10.0 ,2024/5/21 09:55,2024/5/21 10:05
¿ô,617.0 ,2024/5/21 10:05,2024/5/21 20:22
¿ô,9.0 ,2024/5/21 20:22,2024/5/21 20:31
¿ô,18.0 ,2024/5/21 20:31,2024/5/21 20:49
¿ô,26.0 ,2024/5/21 20:49,2024/5/21 21:15
¿ô,45.0 ,2024/5/21 21:15,2024/5/21 22:00
